id,person_id,risk_score,risk_level,risk_factors,total_monetary_amount,average_case_value,financial_risk_level,primary_subject_matter,subject_matter_categories,legal_issues,financial_terms,case_complexity_score,success_rate,last_updated,created_at
1106,40998,30,Medium,"['criminal', 'breach', 'partnership', 'land']",102287.00,102.59,High,Constitutional,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Commercial', 'Employment', 'Tort', 'Constitutional', 'Administrative']","['harassment', 'human rights', 'constitutional rights']","['damages', 'payment', 'fine', 'penalty', 'settlement']",10,100.00,2025-09-15 08:52:57+00:00,2025-09-15 08:52:57+00:00
1107,40999,11,Low,"['business', 'land', 'ownership']",20059.38,91.18,Medium,Property Dispute,"['Property Dispute', 'Commercial', 'Employment', 'Administrative']",[],['compensation'],7,100.00,2025-09-15 08:52:58+00:00,2025-09-15 08:52:58+00:00
1108,41000,48,Medium,"['fraud', 'corruption', 'contract', 'breach', 'business', 'commercial', 'partnership', 'property', 'land']",243065.00,1609.70,High,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Constitutional']","['breach of contract', 'fraud']","['refund', 'damages', 'payment', 'penalty', 'compensation', 'settlement']",10,100.00,2025-09-15 08:52:58+00:00,2025-09-15 08:52:58+00:00
1109,41002,44,Medium,"['fraud', 'theft', 'contract', 'breach', 'business', 'commercial', 'land']",31999.56,146.79,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Criminal', 'Commercial', 'Employment', 'Constitutional']","['fraud', 'wrongful dismissal']","['loss', 'payment', 'damages', 'loan', 'fine']",2,100.00,2025-09-15 08:52:58+00:00,2025-09-15 08:52:58+00:00
1110,41003,49,Medium,"['criminal', 'assault', 'business', 'commercial', 'custody', 'property', 'land', 'ownership']",705583.00,13066.35,High,Property Dispute,"['Property Dispute', 'Criminal', 'Commercial', 'Employment', 'Constitutional']","['harassment', 'human rights', 'property dispute']","['mortgage', 'loss', 'payment']",7,100.00,2025-09-15 08:52:59+00:00,2025-09-15 08:52:59+00:00
1111,41004,81,High,"['fraud', 'contract', 'business', 'commercial', 'family', 'property', 'land', 'ownership', 'criminal', 'breach']",534372.00,518.30,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Administrative', 'Employment', 'Constitutional']","['property dispute', 'fraud']","['loss', 'payment', 'damages', 'profit', 'debt', 'compensation', 'settlement']",10,100.00,2025-09-15 08:52:59+00:00,2025-09-15 08:52:59+00:00
1112,41006,13,Low,"['contract', 'custody', 'property', 'land']",68674.00,1907.61,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Employment']",[],"['refund', 'payment', 'damages']",2,0.00,2025-09-15 08:52:59+00:00,2025-09-15 08:52:59+00:00
1113,41007,14,Low,"['criminal', 'property']",3851.30,91.70,Low,Property Dispute,"['Property Dispute', 'Administrative']",[],[],5,0.00,2025-09-15 08:52:59+00:00,2025-09-15 08:52:59+00:00
1114,41008,21,Medium,"['criminal', 'corruption', 'land']",8365.00,83.65,Low,Property Dispute,"['Property Dispute', 'Commercial', 'Employment', 'Constitutional']",[],"['penalty', 'fine']",2,0.00,2025-09-15 08:52:59+00:00,2025-09-15 08:52:59+00:00
1115,41012,4,Low,['property'],4958.00,76.28,Low,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Employment']",['property dispute'],"['refund', 'investment', 'damages']",5,100.00,2025-09-15 08:53:00+00:00,2025-09-15 08:53:00+00:00
1116,41015,12,Low,"['family', 'land']",50281.16,175.81,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Administrative']",[],"['damages', 'compensation', 'fine', 'settlement']",10,100.00,2025-09-15 08:53:00+00:00,2025-09-15 08:53:00+00:00
1117,41017,27,Medium,"['fraud', 'contract', 'breach', 'business']",3855.24,56.69,Low,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial']",['fraud'],"['refund', 'loss', 'payment', 'damages']",2,0.00,2025-09-15 08:53:00+00:00,2025-09-15 08:53:00+00:00
1118,41018,13,Low,"['contract', 'breach', 'commercial', 'land']",91521.00,1005.73,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Employment']",['breach of contract'],"['loss', 'payment', 'damages', 'fine', 'debt']",4,100.00,2025-09-15 08:53:01+00:00,2025-09-15 08:53:01+00:00
1119,41021,4,Low,['property'],1148.00,29.44,Low,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Employment']",[],['payment'],4,0.00,2025-09-15 08:53:01+00:00,2025-09-15 08:53:01+00:00
1120,41022,43,Medium,"['fraud', 'contract', 'breach', 'business', 'family', 'domestic', 'property', 'land', 'ownership']",41416.00,114.73,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Administrative']",['fraud'],"['loss', 'payment', 'damages', 'profit', 'fine', 'mortgage', 'penalty']",5,100.00,2025-09-15 08:53:01+00:00,2025-09-15 08:53:01+00:00
1121,41027,13,Low,"['commercial', 'family', 'property', 'land']",93035.00,1431.31,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Administrative']",[],"['refund', 'loss', 'payment', 'damages', 'restitution']",2,100.00,2025-09-15 08:53:02+00:00,2025-09-15 08:53:02+00:00
1122,41028,41,Medium,"['fraud', 'corruption', 'bribery', 'contract', 'breach', 'business']",3074.00,60.27,Low,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Administrative']","['breach of contract', 'fraud', 'wrongful dismissal']","['refund', 'debt', 'loss', 'damages']",5,100.00,2025-09-15 08:53:02+00:00,2025-09-15 08:53:02+00:00
1123,41030,3,Low,['contract'],15017.68,127.27,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Employment']",[],"['debt', 'payment', 'loan']",4,100.00,2025-09-15 08:53:02+00:00,2025-09-15 08:53:02+00:00
1124,41032,3,Low,['breach'],316772.79,3265.70,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Constitutional', 'Administrative']",[],"['debt', 'payment', 'fine']",2,100.00,2025-09-15 08:53:03+00:00,2025-09-15 08:53:03+00:00
1125,41033,35,Medium,"['fraud', 'contract', 'family', 'property', 'land', 'ownership']",12352.00,95.75,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Family Law', 'Commercial', 'Constitutional', 'Administrative']","['property dispute', 'fraud']","['debt', 'loss', 'payment', 'loan']",5,100.00,2025-09-15 08:53:03+00:00,2025-09-15 08:53:03+00:00
1126,41034,3,Low,['business'],225319.00,1746.66,High,Commercial,"['Property Dispute', 'Commercial', 'Administrative']",[],"['debt', 'penalty', 'payment', 'investment']",4,0.00,2025-09-15 08:53:03+00:00,2025-09-15 08:53:03+00:00
1127,41036,46,Medium,"['fraud', 'contract', 'breach', 'divorce', 'property', 'land', 'real estate', 'boundary', 'ownership']",44363.00,119.26,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Family Law', 'Employment', 'Tort', 'Constitutional', 'Administrative']","['property dispute', 'fraud']","['payment', 'damages', 'profit', 'fine', 'debt', 'settlement']",10,100.00,2025-09-15 08:53:03+00:00,2025-09-15 08:53:03+00:00
1128,41037,7,Low,"['business', 'land']",154438.00,3217.46,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Tort']",['negligence'],"['loss', 'damages']",7,0.00,2025-09-15 08:53:03+00:00,2025-09-15 08:53:03+00:00
1129,41038,17,Low,"['business', 'family', 'property', 'land', 'ownership']",259363.00,614.60,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Administrative']",['property dispute'],"['loss', 'payment', 'fine']",5,100.00,2025-09-15 08:53:03+00:00,2025-09-15 08:53:03+00:00
1130,41039,18,Low,"['family', 'property', 'land', 'boundary', 'ownership']",27516.40,107.07,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Employment', 'Administrative']",['property dispute'],"['loss', 'payment', 'damages', 'fine']",7,100.00,2025-09-15 08:53:04+00:00,2025-09-15 08:53:04+00:00
1131,41042,8,Low,"['property', 'land']",705.00,58.75,Low,Property Dispute,"['Property Dispute', 'Administrative']",['property dispute'],[],5,100.00,2025-09-15 08:53:04+00:00,2025-09-15 08:53:04+00:00
1132,41043,31,Medium,"['criminal', 'business', 'family', 'property', 'land', 'boundary', 'ownership']",93656.16,186.94,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Administrative']",['property dispute'],"['investment', 'damages', 'fine']",10,100.00,2025-09-15 08:53:04+00:00,2025-09-15 08:53:04+00:00
1133,41045,14,Low,"['family', 'property', 'land', 'ownership']",8985.60,97.67,Low,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Administrative']",['property dispute'],"['loss', 'payment', 'damages', 'compensation', 'settlement']",7,100.00,2025-09-15 08:53:04+00:00,2025-09-15 08:53:04+00:00
1134,41049,50,High,"['criminal', 'embezzlement', 'family', 'property', 'land', 'ownership', 'breach', 'business']",294421.00,406.10,High,Property Dispute,"['Property Dispute', 'Fraud', 'Family Law', 'Commercial', 'Employment', 'Administrative', 'Contract Dispute']",['property dispute'],"['refund', 'payment', 'fine', 'settlement']",7,100.00,2025-09-15 08:53:05+00:00,2025-09-15 08:53:05+00:00
1135,41052,41,Medium,"['robbery', 'corruption', 'bribery', 'contract', 'breach', 'commercial', 'property', 'land']",37390.00,84.98,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Criminal', 'Employment', 'Constitutional', 'Administrative']",['constitutional rights'],"['loss', 'payment', 'damages', 'fine']",10,100.00,2025-09-15 08:53:05+00:00,2025-09-15 08:53:05+00:00
1136,41053,42,Medium,"['contract', 'breach', 'business', 'divorce', 'family', 'property', 'land', 'ownership']",305896.00,699.99,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Commercial', 'Employment', 'Constitutional', 'Administrative']","['human rights', 'property dispute']","['payment', 'loan', 'mortgage', 'compensation', 'settlement']",10,100.00,2025-09-15 08:53:05+00:00,2025-09-15 08:53:05+00:00
1137,41054,18,Low,"['contract', 'breach', 'property', 'land', 'ownership']",345081.18,1297.30,High,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment']",['breach of contract'],"['refund', 'loss', 'payment', 'damages', 'compensation']",10,100.00,2025-09-15 08:53:06+00:00,2025-09-15 08:53:06+00:00
1138,41055,4,Low,['land'],10814.00,102.99,Medium,Property Dispute,"['Property Dispute', 'Constitutional', 'Administrative']",[],[],5,100.00,2025-09-15 08:53:06+00:00,2025-09-15 08:53:06+00:00
1139,41056,21,Medium,"['breach', 'family', 'property', 'land', 'boundary', 'ownership']",308571.00,1615.55,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional', 'Administrative']",['property dispute'],"['loss', 'damages', 'fine']",9,100.00,2025-09-15 08:53:06+00:00,2025-09-15 08:53:06+00:00
1140,41057,42,Medium,"['criminal', 'fraud', 'contract', 'breach', 'property', 'land']",308885.00,1883.45,High,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment']",['fraud'],"['profit', 'damages']",8,100.00,2025-09-15 08:53:06+00:00,2025-09-15 08:53:06+00:00
1141,41058,42,Medium,"['criminal', 'fraud', 'contract', 'breach', 'business', 'commercial', 'family']",50594.50,136.37,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Tort', 'Constitutional', 'Administrative']","['negligence', 'fraud', 'wrongful dismissal']","['refund', 'loss', 'payment', 'damages']",7,100.00,2025-09-15 08:53:06+00:00,2025-09-15 08:53:06+00:00
1142,41059,45,Medium,"['criminal', 'fraud', 'contract', 'breach', 'business', 'family', 'domestic', 'land']",33556.00,170.34,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Constitutional', 'Administrative']","['breach of contract', 'fraud']","['loss', 'damages', 'profit', 'fine', 'penalty']",7,100.00,2025-09-15 08:53:06+00:00,2025-09-15 08:53:06+00:00
1143,41062,30,Medium,"['criminal', 'contract', 'commercial', 'family', 'property', 'land', 'ownership']",343749.00,1942.08,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Employment']",[],"['refund', 'loss', 'payment', 'fine', 'debt']",5,100.00,2025-09-15 08:53:07+00:00,2025-09-15 08:53:07+00:00
1144,41064,23,Medium,"['contract', 'breach', 'commercial', 'family', 'property', 'land', 'ownership']",173764.00,1135.71,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Administrative']",['breach of contract'],"['refund', 'payment', 'damages', 'profit', 'fine']",7,100.00,2025-09-15 08:53:07+00:00,2025-09-15 08:53:07+00:00
1145,41065,40,Medium,"['fraud', 'contract', 'breach', 'property', 'land', 'boundary', 'ownership']",25292.65,134.54,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Administrative']","['breach of contract', 'fraud']","['loss', 'payment', 'damages']",5,100.00,2025-09-15 08:53:07+00:00,2025-09-15 08:53:07+00:00
1146,41066,10,Low,"['family', 'land', 'ownership']",21243.26,100.68,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Administrative']",[],['damages'],7,100.00,2025-09-15 08:53:07+00:00,2025-09-15 08:53:07+00:00
1147,41067,66,High,"['criminal', 'murder', 'assault', 'manslaughter', 'violence']",4814.00,77.65,Low,Criminal,"['Property Dispute', 'Criminal', 'Commercial']",[],['loss'],5,100.00,2025-09-15 08:53:07+00:00,2025-09-15 08:53:07+00:00
1148,41068,45,Medium,"['fraud', 'corruption', 'bribery', 'contract', 'breach', 'business', 'land']",14719.00,88.67,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Constitutional']",['fraud'],['fine'],10,100.00,2025-09-15 08:53:07+00:00,2025-09-15 08:53:07+00:00
1149,41069,29,Medium,"['criminal', 'murder']",2641.00,61.42,Low,Criminal,['Criminal'],[],"['loss', 'fine']",2,0.00,2025-09-15 08:53:08+00:00,2025-09-15 08:53:08+00:00
1150,41070,59,High,"['violence', 'breach', 'commercial', 'land', 'contract', 'family', 'property', 'boundary', 'ownership']",157561.00,124.46,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional', 'Administrative']","['harassment', 'discrimination', 'human rights', 'constitutional rights']","['refund', 'loss', 'damages', 'payment', 'fine', 'penalty', 'settlement']",10,100.00,2025-09-15 08:53:08+00:00,2025-09-15 08:53:08+00:00
1151,41072,176,High,"['criminal', 'murder', 'breach', 'custody', 'land', 'commercial', 'family']",588420.00,668.66,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Criminal', 'Employment', 'Constitutional', 'Administrative']",['human rights'],['fine'],10,100.00,2025-09-15 08:53:08+00:00,2025-09-15 08:53:08+00:00
1152,41073,45,Medium,"['criminal', 'fraud', 'business', 'family', 'property', 'land', 'ownership']",140747.44,282.06,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Constitutional', 'Administrative']",['fraud'],"['investment', 'damages']",5,100.00,2025-09-15 08:53:08+00:00,2025-09-15 08:53:08+00:00
1153,41075,6,Low,"['family', 'land']",31391.42,682.42,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial']",[],['payment'],2,0.00,2025-09-15 08:53:08+00:00,2025-09-15 08:53:08+00:00
1154,41076,15,Low,"['contract', 'custody', 'family', 'property', 'land']",60858.00,563.50,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Commercial', 'Constitutional']",[],"['payment', 'fine', 'settlement']",10,100.00,2025-09-15 08:53:09+00:00,2025-09-15 08:53:09+00:00
1155,41077,27,Medium,"['criminal', 'contract', 'breach', 'business', 'property', 'land']",286117.06,1011.01,High,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional']",[],"['payment', 'damages', 'fine', 'penalty', 'compensation']",10,100.00,2025-09-15 08:53:09+00:00,2025-09-15 08:53:09+00:00
1156,41079,32,Medium,"['fraud', 'breach', 'commercial', 'property', 'land']",37819.00,89.41,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Constitutional', 'Administrative']","['constitutional rights', 'fraud']",['fine'],9,100.00,2025-09-15 08:53:09+00:00,2025-09-15 08:53:09+00:00
1157,41081,35,Medium,"['fraud', 'contract', 'family', 'property', 'land', 'ownership']",62533.00,173.70,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Administrative']","['property dispute', 'fraud']","['mortgage', 'payment']",10,100.00,2025-09-15 08:53:09+00:00,2025-09-15 08:53:09+00:00
1158,41082,75,High,"['fraud', 'contract', 'divorce', 'family', 'property', 'land', 'ownership', 'breach']",132910.00,511.19,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Family Law', 'Commercial', 'Employment', 'Constitutional', 'Administrative']","['family law', 'property dispute', 'human rights', 'fraud']","['payment', 'damages', 'profit', 'fine', 'compensation', 'settlement']",10,100.00,2025-09-15 08:53:09+00:00,2025-09-15 08:53:09+00:00
1159,41083,9,Low,"['contract', 'divorce', 'land']",2160.00,69.68,Low,Family Law,"['Contract Dispute', 'Property Dispute', 'Family Law']",[],[],2,0.00,2025-09-15 08:53:10+00:00,2025-09-15 08:53:10+00:00
1160,41084,32,Medium,"['fraud', 'family', 'property', 'land', 'ownership']",12827.00,66.12,Medium,Property Dispute,"['Property Dispute', 'Fraud', 'Employment', 'Administrative']","['property dispute', 'fraud']",['fine'],5,100.00,2025-09-15 08:53:10+00:00,2025-09-15 08:53:10+00:00
1161,41085,201,High,"['fraud', 'contract', 'business', 'commercial', 'custody', 'property', 'land', 'ownership', 'family']",127858.00,77.30,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Administrative', 'Constitutional']","['property dispute', 'fraud']","['refund', 'debt', 'damages', 'fine']",10,100.00,2025-09-15 08:53:10+00:00,2025-09-15 08:53:10+00:00
1163,41087,9,Low,"['contract', 'breach', 'commercial']",13195.00,79.01,Medium,Contract Dispute,"['Contract Dispute', 'Employment', 'Administrative']",[],"['investment', 'fine']",5,100.00,2025-09-15 08:53:10+00:00,2025-09-15 08:53:10+00:00
1164,41088,52,High,"['criminal', 'family', 'property', 'land', 'ownership', 'boundary']",71220.00,145.94,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Administrative']",['property dispute'],"['payment', 'damages', 'fine']",10,100.00,2025-09-15 08:53:10+00:00,2025-09-15 08:53:10+00:00
1165,41089,23,Medium,"['criminal', 'drug', 'business']",23316.00,91.80,Medium,Commercial,"['Property Dispute', 'Commercial', 'Employment', 'Constitutional', 'Administrative']",[],['loss'],7,100.00,2025-09-15 08:53:10+00:00,2025-09-15 08:53:10+00:00
1166,41090,39,Medium,"['fraud', 'contract', 'family', 'property', 'land', 'boundary', 'ownership']",79410.55,96.49,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Constitutional']","['property dispute', 'fraud']","['payment', 'damages']",7,100.00,2025-09-15 08:53:10+00:00,2025-09-15 08:53:10+00:00
1167,41091,17,Low,"['contract', 'family', 'property', 'land', 'ownership']",3032.00,108.29,Low,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Commercial', 'Administrative']",['property dispute'],"['payment', 'settlement']",10,0.00,2025-09-15 08:53:11+00:00,2025-09-15 08:53:11+00:00
1168,41092,3,Low,['contract'],8664.00,84.12,Low,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Constitutional']",[],"['debt', 'payment', 'fine']",10,100.00,2025-09-15 08:53:11+00:00,2025-09-15 08:53:11+00:00
1169,41093,24,Medium,"['contract', 'commercial', 'family', 'property', 'land', 'boundary', 'ownership']",60762.00,88.57,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional', 'Administrative']",['property dispute'],"['payment', 'fine', 'settlement']",7,100.00,2025-09-15 08:53:11+00:00,2025-09-15 08:53:11+00:00
1170,41094,36,Medium,['fraud'],9166.00,77.68,Low,Fraud,"['Fraud', 'Employment', 'Administrative']",['fraud'],['settlement'],10,0.00,2025-09-15 08:53:11+00:00,2025-09-15 08:53:11+00:00
1171,41095,38,Medium,"['fraud', 'contract', 'business', 'family', 'property', 'land', 'ownership']",26481.00,134.42,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Tort']","['property dispute', 'negligence', 'fraud']","['damages', 'fine', 'settlement']",5,100.00,2025-09-15 08:53:11+00:00,2025-09-15 08:53:11+00:00
1172,41096,43,Medium,"['fraud', 'contract', 'family', 'land', 'domestic', 'property', 'boundary']",91480.38,127.06,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Administrative', 'Tort', 'Constitutional']","['property dispute', 'negligence', 'fraud']","['loss', 'damages', 'settlement']",10,100.00,2025-09-15 08:53:11+00:00,2025-09-15 08:53:11+00:00
1173,41101,36,Medium,"['criminal', 'murder', 'business', 'land']",36900.00,338.53,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Criminal', 'Commercial', 'Employment', 'Tort', 'Administrative']","['defamation', 'criminal offense']","['penalty', 'damages', 'loss']",7,0.00,2025-09-15 08:53:12+00:00,2025-09-15 08:53:12+00:00
1174,41103,13,Low,"['business', 'family', 'property', 'land']",34097.00,163.14,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional']",[],"['payment', 'damages', 'compensation']",7,100.00,2025-09-15 08:53:12+00:00,2025-09-15 08:53:12+00:00
1175,41104,37,Medium,"['fraud', 'contract', 'breach', 'business', 'custody', 'land', 'ownership']",71204.00,1112.56,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment']",['fraud'],"['loss', 'payment', 'damages', 'loan', 'fine']",2,100.00,2025-09-15 08:53:12+00:00,2025-09-15 08:53:12+00:00
1176,41105,34,Medium,"['fraud', 'contract', 'breach', 'business', 'commercial', 'property']",635234.03,3396.97,High,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial']","['breach of contract', 'fraud']","['refund', 'debt', 'payment', 'damages']",5,100.00,2025-09-15 08:53:13+00:00,2025-09-15 08:53:13+00:00
1177,41106,62,High,"['fraud', 'contract', 'family', 'property', 'land']",18072.00,118.89,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Employment', 'Administrative']",['fraud'],['payment'],10,100.00,2025-09-15 08:53:13+00:00,2025-09-15 08:53:13+00:00
1178,41107,10,Low,"['family', 'property', 'land']",10494.36,98.08,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute']",[],['damages'],5,100.00,2025-09-15 08:53:13+00:00,2025-09-15 08:53:13+00:00
1179,41108,70,High,"['fraud', 'business', 'family', 'property', 'land', 'ownership']",33483.10,103.98,Medium,Property Dispute,"['Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Administrative']","['property dispute', 'fraud']","['mortgage', 'profit', 'payment']",10,100.00,2025-09-15 08:53:13+00:00,2025-09-15 08:53:13+00:00
1180,41111,3,Low,['contract'],319.00,31.90,Low,Contract Dispute,"['Contract Dispute', 'Employment']",[],"['debt', 'payment', 'settlement']",5,0.00,2025-09-15 08:53:13+00:00,2025-09-15 08:53:13+00:00
1181,41112,23,Medium,"['contract', 'business', 'commercial', 'family', 'property', 'land', 'ownership']",42582.00,98.80,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional', 'Administrative']",[],"['refund', 'loss', 'payment', 'profit', 'debt']",5,100.00,2025-09-15 08:53:14+00:00,2025-09-15 08:53:14+00:00
1182,41114,9,Low,"['business', 'family', 'property']",538.00,25.62,Low,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Administrative']",[],['settlement'],7,100.00,2025-09-15 08:53:14+00:00,2025-09-15 08:53:14+00:00
1183,41115,12,Low,"['breach', 'business']",945440.00,5311.46,High,Administrative,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Tort', 'Administrative']",['negligence'],"['refund', 'payment', 'profit', 'fine', 'penalty']",10,100.00,2025-09-15 08:53:14+00:00,2025-09-15 08:53:14+00:00
1184,41119,27,Medium,"['property', 'land', 'boundary', 'ownership', 'breach']",62958.82,78.31,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Administrative', 'Employment', 'Constitutional']",['property dispute'],"['debt', 'damages']",10,100.00,2025-09-15 08:53:15+00:00,2025-09-15 08:53:15+00:00
1185,41120,30,Medium,"['criminal', 'contract', 'commercial', 'family', 'land', 'boundary', 'ownership']",8984.00,82.42,Low,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional', 'Administrative']",[],['damages'],5,100.00,2025-09-15 08:53:15+00:00,2025-09-15 08:53:15+00:00
1186,41123,21,Medium,"['breach', 'family', 'property', 'land', 'boundary', 'ownership']",30276.28,79.26,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Administrative']",['property dispute'],"['damages', 'fine']",7,100.00,2025-09-15 08:53:15+00:00,2025-09-15 08:53:15+00:00
1187,41126,71,High,"['criminal', 'fraud', 'assault', 'breach', 'commercial', 'family', 'property', 'land', 'real estate', 'ownership']",180062.00,170.19,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Family Law', 'Criminal', 'Employment', 'Constitutional', 'Administrative']","['property dispute', 'fraud']","['loss', 'payment', 'profit', 'fine', 'mortgage', 'settlement']",10,100.00,2025-09-15 08:53:16+00:00,2025-09-15 08:53:16+00:00
1188,41128,34,Medium,"['contract', 'divorce', 'family', 'domestic', 'property', 'land']",48362.00,116.82,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Commercial', 'Employment', 'Constitutional', 'Administrative']",['property dispute'],"['damages', 'settlement']",10,100.00,2025-09-15 08:53:16+00:00,2025-09-15 08:53:16+00:00
1189,41129,30,Medium,"['theft', 'embezzlement', 'breach', 'business', 'divorce', 'land']",340164.00,804.17,High,Tort,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Family Law', 'Criminal', 'Commercial', 'Employment', 'Tort', 'Administrative']","['defamation', 'harassment']","['loss', 'damages', 'investment', 'fine', 'settlement']",10,100.00,2025-09-15 08:53:16+00:00,2025-09-15 08:53:16+00:00
1190,41130,243,High,"['fraud', 'business', 'family', 'property', 'land', 'ownership', 'boundary', 'criminal', 'contract']",545703.44,220.93,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Administrative', 'Constitutional']","['property dispute', 'fraud']","['damages', 'compensation', 'fine', 'settlement']",10,100.00,2025-09-15 08:53:16+00:00,2025-09-15 08:53:16+00:00
1191,41131,0,Low,[],2330.00,116.50,Low,Employment,['Employment'],[],[],2,100.00,2025-09-15 08:53:16+00:00,2025-09-15 08:53:16+00:00
1192,41132,14,Low,"['divorce', 'custody', 'family', 'property', 'land']",13255.00,167.78,Medium,Property Dispute,"['Property Dispute', 'Family Law', 'Constitutional']",[],"['payment', 'loan', 'fine', 'debt', 'compensation', 'settlement']",2,100.00,2025-09-15 08:53:17+00:00,2025-09-15 08:53:17+00:00
