id,name,registry_name,court_type,region,location,address,city,district,latitude,longitude,google_place_id,area_coverage,contact_phone,contact_email,website,court_picture_url,additional_images,operating_hours,is_active,is_verified,created_at,updated_at,created_by,updated_by,search_count,last_searched,notes,status
116,Amasaman High Court,,High Court,Greater Accra,Amasaman,"Amasaman High Court, Amasaman, Greater Accra",,,5.75,-0.25,,Jurisdiction covers Amasaman and surrounding areas,+233 302 234 567,amasaman.highcourt@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Amasaman, Greater Accra region",ACTIVE
118,Gbetsile High Court,,High Court,Greater Accra,Gbetsile,"Gbetsile High Court, Gbetsile, Greater Accra",,,5.779282,-0.527016,,Jurisdiction covers Gbetsile and surrounding areas,+233 501 972 861,gbetsile.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Gbetsile, Greater Accra region",ACTIVE
117,Sowutuom High Court,,High Court,Greater Accra,Sowutuom,"Sowutuom High Court, Sowutuom, Greater Accra",,,5.525928,-0.095103,,Jurisdiction covers Sowutuom and surrounding areas,+233 646 682 751,sowutuom.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Sowutuom, Greater Accra region",ACTIVE
119,Circuit Court,,Circuit Court,Greater Accra,Unknown,"Circuit Court, Unknown, Greater Accra",,,5.951643,-0.071719,,Jurisdiction covers Unknown and surrounding areas,+233 604 517 621,unknown.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Unknown, Greater Accra region",ACTIVE
121,Circuit Court,,Circuit Court,Greater Accra,11,"Circuit Court, 11, Greater Accra",,,5.501433,0.124641,,Jurisdiction covers 11 and surrounding areas,+233 462 179 844,11.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in 11, Greater Accra region",ACTIVE
123,Ashaiman Circuit Court,,Circuit Court,Greater Accra,Ashaiman,"Ashaiman Circuit Court, Ashaiman, Greater Accra",,,5.760555,0.263038,,Jurisdiction covers Ashaiman and surrounding areas,+233 887 337 501,ashaiman.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Ashaiman, Greater Accra region",ACTIVE
125,Tema Circuit Court,,Circuit Court,Greater Accra,B,"Tema Circuit Court, B, Greater Accra",,,5.316269,-0.558915,,Jurisdiction covers B and surrounding areas,+233 643 761 480,b.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in B, Greater Accra region",ACTIVE
127,Weija Circuit Court,,Circuit Court,Greater Accra,GBVC,"Weija Circuit Court, GBVC, Greater Accra",,,5.805957,0.093598,,Jurisdiction covers GBVC and surrounding areas,+233 401 235 671,gbvc.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in GBVC, Greater Accra region",ACTIVE
129,Adenta Circuit Court – B,,Circuit Court,Greater Accra,GBVC,"Adenta Circuit Court – B, GBVC, Greater Accra",,,5.691616,-0.355632,,Jurisdiction covers GBVC and surrounding areas,+233 621 323 654,gbvc.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in GBVC, Greater Accra region",ACTIVE
131,Dansoman Circuit Court,,Circuit Court,Greater Accra,Dansoman,"Dansoman Circuit Court, Dansoman, Greater Accra",,,5.738617,-0.560186,,Jurisdiction covers Dansoman and surrounding areas,+233 585 557 476,dansoman.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Dansoman, Greater Accra region",ACTIVE
133,Gbetsile Circuit Court,,Circuit Court,Greater Accra,Gbetsile,"Gbetsile Circuit Court, Gbetsile, Greater Accra",,,5.78928,-0.236367,,Jurisdiction covers Gbetsile and surrounding areas,+233 938 807 693,gbetsile.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Gbetsile, Greater Accra region",ACTIVE
135,Adenta District Court,,District Court,Greater Accra,Adenta,"Adenta District Court, Adenta, Greater Accra",,,5.996137,0.08776,,Jurisdiction covers Adenta and surrounding areas,+233 652 387 808,adenta.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Adenta, Greater Accra region",ACTIVE
137,Amasaman District Court – A,,District Court,Greater Accra,Amasaman,"Amasaman District Court – A, Amasaman, Greater Accra",,,5.252432,-0.279737,,Jurisdiction covers Amasaman and surrounding areas,+233 861 369 512,amasaman.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Amasaman, Greater Accra region",ACTIVE
139,Madina District Court – A,,District Court,Greater Accra,Madina,"Madina District Court – A, Madina, Greater Accra",,,5.491397,0.231992,,Jurisdiction covers Madina and surrounding areas,+233 550 402 805,madina.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Madina, Greater Accra region",ACTIVE
120,Circuit Court,,Circuit Court,Greater Accra,GBVC,"Circuit Court, GBVC, Greater Accra",,,5.259606,-0.2518,,Jurisdiction covers GBVC and surrounding areas,+233 803 122 517,gbvc.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in GBVC, Greater Accra region",ACTIVE
122,Amasaman Circuit Court,,Circuit Court,Greater Accra,GBVC,"Amasaman Circuit Court, GBVC, Greater Accra",,,5.636398,0.095305,,Jurisdiction covers GBVC and surrounding areas,+233 971 700 521,gbvc.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in GBVC, Greater Accra region",ACTIVE
124,Tema Circuit Court – A,,Circuit Court,Greater Accra,GBVC,"Tema Circuit Court – A, GBVC, Greater Accra",,,5.776268,0.179886,,Jurisdiction covers GBVC and surrounding areas,+233 877 392 721,gbvc.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in GBVC, Greater Accra region",ACTIVE
126,Dome,,Circuit Court,Greater Accra,Kwabenya,"Dome, Kwabenya, Greater Accra",,,5.133576,-0.341021,,Jurisdiction covers Kwabenya and surrounding areas,+233 448 996 225,kwabenya.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Kwabenya, Greater Accra region",ACTIVE
128,Adenta Circuit Court – A,,Circuit Court,Greater Accra,Adenta,"Adenta Circuit Court – A, Adenta, Greater Accra",,,5.965233,-0.114891,,Jurisdiction covers Adenta and surrounding areas,+233 431 687 548,adenta.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Adenta, Greater Accra region",ACTIVE
130,Police HQ Circuit Court,,Circuit Court,Greater Accra,GBVC,"Police HQ Circuit Court, GBVC, Greater Accra",,,5.6018,-0.191671,,Jurisdiction covers GBVC and surrounding areas,+233 520 213 485,gbvc.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in GBVC, Greater Accra region",ACTIVE
132,Achimota Circuit Court,,Circuit Court,Greater Accra,Achimota,"Achimota Circuit Court, Achimota, Greater Accra",,,5.298508,-0.323477,,Jurisdiction covers Achimota and surrounding areas,+233 695 614 931,achimota.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Achimota, Greater Accra region",ACTIVE
134,Ada Circuit Court,,Circuit Court,Greater Accra,Ada,"Ada Circuit Court, Ada, Greater Accra",,,5.397809,-0.417328,,Jurisdiction covers Ada and surrounding areas,+233 714 170 209,ada.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Ada, Greater Accra region",ACTIVE
136,Ada District Court,,District Court,Greater Accra,Ada,"Ada District Court, Ada, Greater Accra",,,5.328237,-0.266934,,Jurisdiction covers Ada and surrounding areas,+233 897 156 239,ada.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Ada, Greater Accra region",ACTIVE
138,Amasaman District Court – B,,District Court,Greater Accra,Amasaman,"Amasaman District Court – B, Amasaman, Greater Accra",,,5.312444,-0.147838,,Jurisdiction covers Amasaman and surrounding areas,+233 578 941 324,amasaman.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Amasaman, Greater Accra region",ACTIVE
140,Madina District Court – B,,District Court,Greater Accra,Madina,"Madina District Court – B, Madina, Greater Accra",,,5.408784,-0.394694,,Jurisdiction covers Madina and surrounding areas,+233 344 402 751,madina.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Madina, Greater Accra region",ACTIVE
142,Adabraka District Court,,District Court,Greater Accra,Adabraka,"Adabraka District Court, Adabraka, Greater Accra",,,5.621141,0.198347,,Jurisdiction covers Adabraka and surrounding areas,+233 659 477 504,adabraka.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Adabraka, Greater Accra region",ACTIVE
141,La District Court,,District Court,Greater Accra,La,"La District Court, La, Greater Accra",,,5.726539,-0.452528,,Jurisdiction covers La and surrounding areas,+233 307 620 606,la.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in La, Greater Accra region",ACTIVE
143,Achimota District Court,,District Court,Greater Accra,Achimota,"Achimota District Court, Achimota, Greater Accra",,,5.834352,-0.664599,,Jurisdiction covers Achimota and surrounding areas,+233 756 495 636,achimota.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Achimota, Greater Accra region",ACTIVE
145,& Juvenile Court,,Unknown,Greater Accra,Family,"& Juvenile Court, Family, Greater Accra",,,5.436227,0.296796,,Jurisdiction covers Family and surrounding areas,+233 834 169 677,family.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Family, Greater Accra region",ACTIVE
147,Teshie/Nungua District Court,,District Court,Greater Accra,Nungua,"Teshie/Nungua District Court, Nungua, Greater Accra",,,5.874941,-0.6006,,Jurisdiction covers Nungua and surrounding areas,+233 376 747 275,nungua.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Nungua, Greater Accra region",ACTIVE
149,Sege District Court,,District Court,Greater Accra,Sege,"Sege District Court, Sege, Greater Accra",,,5.112844,-0.076683,,Jurisdiction covers Sege and surrounding areas,+233 604 515 990,sege.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Sege, Greater Accra region",ACTIVE
151,Tema District Court,,District Court,Greater Accra,Community Centre,"Tema District Court, Community Centre, Greater Accra",,,5.67314,0.140393,,Jurisdiction covers Community Centre and surrounding areas,+233 409 990 969,communitycentre.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Community Centre, Greater Accra region",ACTIVE
153,Prampram District Court,,District Court,Greater Accra,Prampram,"Prampram District Court, Prampram, Greater Accra",,,5.939485,-0.228661,,Jurisdiction covers Prampram and surrounding areas,+233 208 934 691,prampram.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Prampram, Greater Accra region",ACTIVE
155,"DOVVSU, Police HQ District Court",,District Court,Greater Accra,Unknown,"DOVVSU, Police HQ District Court, Unknown, Greater Accra",,,5.22771,0.263551,,Jurisdiction covers Unknown and surrounding areas,+233 706 501 219,unknown.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Unknown, Greater Accra region",ACTIVE
157,Ngleshie Amanfro District Court,,District Court,Greater Accra,Ngleshie Amanfro,"Ngleshie Amanfro District Court, Ngleshie Amanfro, Greater Accra",,,5.951126,-0.464819,,Jurisdiction covers Ngleshie Amanfro and surrounding areas,+233 986 561 966,ngleshieamanfro.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Ngleshie Amanfro, Greater Accra region",ACTIVE
159,Baatsona – Spintex District Court,,District Court,Greater Accra,Spintex,"Baatsona – Spintex District Court, Spintex, Greater Accra",,,6.012035,-0.527131,,Jurisdiction covers Spintex and surrounding areas,+233 628 488 279,spintex.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Spintex, Greater Accra region",ACTIVE
161,Kotobabi District Court,,District Court,Greater Accra,2,"Kotobabi District Court, 2, Greater Accra",,,5.11351,-0.246599,,Jurisdiction covers 2 and surrounding areas,+233 489 210 927,2.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in 2, Greater Accra region",ACTIVE
